* c:\users\prana\esim-workspace\cockroft_walton_charge_pump\cockroft_walton_charge_pump.cir
Transient Analysis  Sat Mar 05 17:52:38  2022
--------------------------------------------------------------------------------
Index   time            alli            
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	
1	1.000000e-05	-1.83795e-08	
2	2.000000e-05	-1.83348e-08	
3	4.000000e-05	-1.82458e-08	
4	8.000000e-05	-1.81711e-08	
5	1.600000e-04	-1.79406e-08	
6	3.200000e-04	-1.78706e-08	
7	5.383180e-04	-2.08243e-08	
8	7.520314e-04	-4.69317e-08	
9	9.825399e-04	-2.55293e-07	
10	1.223797e-03	-1.58131e-06	
11	1.481358e-03	-6.29319e-06	
12	1.776452e-03	-1.62036e-05	
13	2.164491e-03	-3.34700e-05	
14	2.823752e-03	-6.52645e-05	
15	3.823752e-03	-1.03661e-04	
16	4.823752e-03	-1.25303e-04	
17	5.823752e-03	-1.36552e-04	
18	6.823752e-03	-1.42717e-04	
19	7.823752e-03	-1.46462e-04	
20	8.823752e-03	-1.48751e-04	
21	9.823752e-03	-1.50118e-04	
22	1.082375e-02	-1.50829e-04	
23	1.182375e-02	-1.51017e-04	
24	1.282375e-02	-1.50785e-04	
25	1.382375e-02	-1.50187e-04	
26	1.482375e-02	-1.49281e-04	
27	1.582375e-02	-1.48090e-04	
28	1.682375e-02	-1.46653e-04	
29	1.782375e-02	-1.44981e-04	
30	1.882375e-02	-1.43102e-04	
31	1.982375e-02	-1.41020e-04	
32	2.082375e-02	-1.38758e-04	
33	2.182375e-02	-1.36315e-04	
34	2.282375e-02	-1.33713e-04	
35	2.382375e-02	-1.30947e-04	
36	2.482375e-02	-1.28039e-04	
37	2.582375e-02	-1.24982e-04	
38	2.682375e-02	-1.21797e-04	
39	2.782375e-02	-1.18480e-04	
40	2.882375e-02	-1.15049e-04	
41	2.982375e-02	-1.11501e-04	
42	3.082375e-02	-1.07854e-04	
43	3.182375e-02	-1.04105e-04	
44	3.282375e-02	-1.00270e-04	
45	3.382375e-02	-9.63423e-05	
46	3.482375e-02	-9.23323e-05	
47	3.582375e-02	-8.82264e-05	
48	3.682375e-02	-8.40325e-05	
49	3.782375e-02	-7.97392e-05	
50	3.882375e-02	-7.53615e-05	
51	3.982375e-02	-7.08964e-05	
52	4.082375e-02	-6.63657e-05	
53	4.182375e-02	-6.17704e-05	
54	4.282375e-02	-5.71346e-05	

Index   time            alli            
--------------------------------------------------------------------------------
55	4.382375e-02	-5.24610e-05	
56	4.482375e-02	-4.77750e-05	
57	4.582375e-02	-4.30812e-05	
58	4.682375e-02	-3.84077e-05	
59	4.782375e-02	-3.37632e-05	
60	4.882375e-02	-2.91818e-05	
61	4.982375e-02	-2.46800e-05	
62	5.082375e-02	-2.03029e-05	
63	5.182375e-02	-1.60824e-05	
64	5.282375e-02	-1.20856e-05	
65	5.382375e-02	-8.37917e-06	
66	5.482375e-02	-5.09282e-06	
67	5.582375e-02	-2.42484e-06	
68	5.682375e-02	-7.17545e-07	
69	5.782375e-02	-9.53519e-08	
70	5.882375e-02	-6.10207e-09	
71	5.982375e-02	3.520485e-09	
72	6.082375e-02	7.178560e-10	
73	6.182375e-02	4.190869e-09	
74	6.282375e-02	1.194961e-09	
75	6.382375e-02	4.674161e-09	
76	6.482375e-02	1.689351e-09	
77	6.582375e-02	5.181309e-09	
78	6.682375e-02	2.211107e-09	
79	6.782375e-02	5.719714e-09	
80	6.882375e-02	2.828241e-09	
81	6.982375e-02	1.027466e-07	
82	7.082375e-02	5.739134e-06	
83	7.182375e-02	2.109680e-05	
84	7.282375e-02	3.921854e-05	
85	7.382375e-02	5.561886e-05	
86	7.482375e-02	6.870031e-05	
87	7.582375e-02	7.875235e-05	
88	7.682375e-02	8.634012e-05	
89	7.782375e-02	9.217531e-05	
90	7.882375e-02	9.684844e-05	
91	7.982375e-02	1.007360e-04	
92	8.082375e-02	1.041159e-04	
93	8.182375e-02	1.071299e-04	
94	8.282375e-02	1.098966e-04	
95	8.382375e-02	1.124548e-04	
96	8.482375e-02	1.148584e-04	
97	8.582375e-02	1.171070e-04	
98	8.682375e-02	1.192306e-04	
99	8.782375e-02	1.212147e-04	
100	8.882375e-02	1.230812e-04	
101	8.982375e-02	1.248111e-04	
102	9.082375e-02	1.264236e-04	
103	9.182375e-02	1.278989e-04	
104	9.282375e-02	1.302160e-04	
105	9.382375e-02	2.262882e-04	
106	9.460920e-02	4.322662e-04	
107	9.544322e-02	3.295873e-04	
108	9.644322e-02	4.018761e-04	
109	9.744322e-02	3.542910e-04	
110	9.844322e-02	3.908806e-04	
111	9.944322e-02	3.656874e-04	
112	1.004432e-01	3.842894e-04	

Index   time            alli            
--------------------------------------------------------------------------------
113	1.014432e-01	3.709763e-04	
114	1.024432e-01	3.800142e-04	
115	1.034432e-01	3.717105e-04	
116	1.044432e-01	3.756530e-04	
117	1.054432e-01	3.699146e-04	
118	1.064432e-01	3.706706e-04	
119	1.074432e-01	3.660016e-04	
120	1.084432e-01	3.646919e-04	
121	1.094432e-01	3.602873e-04	
122	1.104432e-01	3.575306e-04	
123	1.114432e-01	3.529559e-04	
124	1.124432e-01	3.491010e-04	
125	1.134432e-01	3.441261e-04	
126	1.144432e-01	3.393738e-04	
127	1.154432e-01	3.338830e-04	
128	1.164432e-01	3.283540e-04	
129	1.174432e-01	3.222954e-04	
130	1.184432e-01	3.160671e-04	
131	1.194432e-01	3.094255e-04	
132	1.204432e-01	3.025529e-04	
133	1.214432e-01	2.953340e-04	
134	1.224432e-01	2.878608e-04	
